id_municipio,municipio_nome,municipio_cpamb
3500105,Adamantina,Adamantina
3500204,Adolfo,Adolfo
3500303,Aguaí,Aguai
3500402,Águas da Prata,Aguas Da Prata
3500501,Águas de Lindóia,Aguas De Lindoia
3500550,Águas de Santa Bárbara,Aguas De Santa Barbara
3500600,Águas de São Pedro,Aguas De Sao Pedro
3500709,Agudos,Agudos
3500758,Alambari,Alambari
3500808,Alfredo Marcondes,Alfredo Marcondes
3500907,Altair,Altair
3501004,Altinópolis,Altinopolis
3501103,Alto Alegre,Alto Alegre
3501152,Alumínio,Aluminio
3501202,Álvares Florence,Alvares Florence
3501301,Álvares Machado,Alvares Machado
3501400,Álvaro de Carvalho,Alvaro De Carvalho
3501509,Alvinlândia,Alvinlandia
3501608,Americana,Americana
3501707,Américo Brasiliense,Americo Brasiliense
3501806,Américo de Campos,Americo De Campos
3501905,Amparo,Amparo
3502002,Analândia,Analandia
3502101,Andradina,Andradina
3502200,Angatuba,Angatuba
3502309,Anhembi,Anhembi
3502408,Anhumas,Anhumas
3502507,Aparecida,Aparecida
3502606,Aparecida d'Oeste,Aparecida D'Oeste
3502705,Apiaí,Apiai
3502754,Araçariguama,Aracariguama
3502804,Araçatuba,Aracatuba
3502903,Araçoiaba da Serra,Aracoiaba Da Serra
3503000,Aramina,Aramina
3503109,Arandu,Arandu
3503158,Arapeí,Arapei
3503208,Araraquara,Araraquara
3503307,Araras,Araras
3503356,Arco-Íris,Arco Iris
3503406,Arealva,Arealva
3503505,Areias,Areias
3503604,Areiópolis,Areiopolis
3503703,Ariranha,Ariranha
3503802,Artur Nogueira,Artur Nogueira
3503901,Arujá,Aruja
3503950,Aspásia,Aspasia
3504008,Assis,Assis
3504107,Atibaia,Atibaia
3504206,Auriflama,Auriflama
3504305,Avaí,Avai
3504404,Avanhandava,Avanhandava
3504503,Avaré,Avare
3504602,Bady Bassitt,Bady Bassitt
3504701,Balbinos,Balbinos
3504800,Bálsamo,Balsamo
3504909,Bananal,Bananal
3505005,Barão de Antonina,Barao De Antonina
3505104,Barbosa,Barbosa
3505203,Bariri,Bariri
3505302,Barra Bonita,Barra Bonita
3505351,Barra do Chapéu,Barra Do Chapeu
3505401,Barra do Turvo,Barra Do Turvo
3505500,Barretos,Barretos
3505609,Barrinha,Barrinha
3505708,Barueri,Barueri
3505807,Bastos,Bastos
3505906,Batatais,Batatais
3506003,Bauru,Bauru
3506102,Bebedouro,Bebedouro
3506201,Bento de Abreu,Bento De Abreu
3506300,Bernardino de Campos,Bernardino De Campos
3506359,Bertioga,Bertioga
3506409,Bilac,Bilac
3506508,Birigui,Birigui
3506607,Biritiba-Mirim,Biritiba-Mirim
3506706,Boa Esperança do Sul,Boa Esperanca Do Sul
3506805,Bocaina,Bocaina
3506904,Bofete,Bofete
3507001,Boituva,Boituva
3507100,Bom Jesus dos Perdões,Bom Jesus Dos Perdoes
3507159,Bom Sucesso de Itararé,Bom Sucesso Do Itarare
3507209,Borá,Bora
3507308,Boracéia,Boraceia
3507407,Borborema,Borborema
3507456,Borebi,Borebi
3507506,Botucatu,Botucatu
3507605,Bragança Paulista,Braganca Paulista
3507704,Braúna,Brauna
3507753,Brejo Alegre,Brejo Alegre
3507803,Brodowski,Brodosqui
3507902,Brotas,Brotas
3508009,Buri,Buri
3508108,Buritama,Buritama
3508207,Buritizal,Buritizal
3508306,Cabrália Paulista,Cabralia Paulista
3508405,Cabreúva,Cabreuva
3508504,Caçapava,Cacapava
3508603,Cachoeira Paulista,Cachoeira Paulista
3508702,Caconde,Caconde
3508801,Cafelândia,Cafelandia
3508900,Caiabu,Caiabu
3509007,Caieiras,Caieiras
3509106,Caiuá,Caiua
3509205,Cajamar,Cajamar
3509254,Cajati,Cajati
3509304,Cajobi,Cajobi
3509403,Cajuru,Cajuru
3509452,Campina do Monte Alegre,Campina Do Mte Alegre
3509502,Campinas,Campinas
3509601,Campo Limpo Paulista,Campo Limpo Paulista
3509700,Campos do Jordão,Campos Do Jordao
3509809,Campos Novos Paulista,Campos Novos Paulista
3509908,Cananéia,Cananeia
3509957,Canas,Canas
3510005,Cândido Mota,Candido Mota
3510104,Cândido Rodrigues,Candido Rodrigues
3510153,Canitar,Canita
3510203,Capão Bonito,Capao Bonito
3510302,Capela do Alto,Capela Do Alto
3510401,Capivari,Capivari
3510500,Caraguatatuba,Caraguatatuba
3510609,Carapicuíba,Carapicuiba
3510708,Cardoso,Cardoso
3510807,Casa Branca,Casa Branca
3510906,Cássia dos Coqueiros,Cassia Dos Coqueiros
3511003,Castilho,Castilho
3511102,Catanduva,Catanduva
3511201,Catiguá,Catigua
3511300,Cedral,Cedral
3511409,Cerqueira César,Cerqueira Cesar
3511508,Cerquilho,Cerquilho
3511607,Cesário Lange,Cesario Lange
3511706,Charqueada,Charqueada
3557204,Chavantes,Chavantes
3511904,Clementina,Clementina
3512001,Colina,Colina
